u=calc,y2=calc,joyForward=meas,PowerA=calc,Lys=meas,Tid=meas,y1=calc,Ts=calc
nullflow=1
0,0,0,0,1,5.21484112739563,0,0.030436038970947266
0,0,0,0,1,5.247239112854004,0,0.03239798545837402
0,0,0,0,1,5.287091970443726,0,0.03985285758972168
0,0,0,0,1,5.320935010910034,0,0.033843040466308594
0,0,0,0,1,5.3612060546875,0,0.04027104377746582
0,0,0,0,1,5.387859106063843,0,0.026653051376342773
0,0,0,0,1,5.422707080841064,0,0.03484797477722079
0,0,0,0,1,5.450689077377319,0,0.02798199653625577
0,0,0,0,1,5.484697103500366,0,0.034008026123046875
0,0,0,0,1,5.522854089736938,0,0.03815698623657138
0,0,0,0,1,5.56151008605957,0,0.038655996322632724
0,0,0,0,1,5.603527069091797,0,0.04201698303222656
0,0,0,0,1,5.633462190628052,0,0.029935121536254883
0,0,0,0,1,5.669311046600342,0,0.03584885597229004
0,0,0,0,1,5.703194141387939,0,0.03388309478759677
0,0,0,0,1,5.734595060348511,0,0.03140091896057218
0,0,0,0,1,5.777204036712646,0,0.042608976364134854
0,0,0,0,1,5.804741144180298,0,0.027537107467652255
0,0,0,0,1,5.839308023452759,0,0.03456687927246094
0,0,0,0,1,5.870054960250854,0,0.030746936798094815
0,0,0,0,1,5.903783082962036,0,0.03372812271118253
0,0,0,0,1,5.951056957244873,0,0.047273874282836914
0,0,0,0,1,5.983703136444092,0,0.03264617919921875
0,0,0,0,1,6.011970996856689,0,0.028267860412596768
0,0,0,0,1,6.04774808883667,0,0.03577709197998136
0,0,0,0,1,6.083853960037231,0,0.036105871200560635
0,0,0,0,1,6.120918989181519,0,0.037065029144288886
0,0,0,0,1,6.154028177261353,0,0.033109188079833984
0,0,0,0,1,6.191161155700684,0,0.037132978439330167
0,0,0,0,1,6.225465059280396,0,0.0343039035797128
0,0,0,0,1,6.25363302230835,0,0.028167963027953213
0,0,0,0,1,6.286823987960815,0,0.03319096565246582
0,0,0,0,1,6.321551084518433,0,0.03472709655761719
0,0,0,0,1,6.357277154922485,0,0.035726070404052734
0,0,0,0,1,6.391235113143921,0,0.03395795822143555
0,0,0,0,1,6.422054052352905,0,0.030818939208984375
0,0,0,0,1,6.457915067672729,0,0.03586101531982333
0,0,0,0,1,6.483967065811157,0,0.026051998138428623
0,0,0,0,1,6.515732049942017,0,0.031764984130859375
0,0,0,0,1,6.553404092788696,0,0.03767204284667969
0,0,0,0,1,6.585183143615723,0,0.03177905082702637
0,0,0,0,1,6.618642091751099,0,0.03345894813537598
0,0,0,0,1,6.649506092071533,0,0.03086400032043457
0,0,0,0,1,6.681236028671265,0,0.031729936599731445
0,0,0,0,1,6.710904121398926,0,0.029668092727661133
0,0,0,0,1,6.749498128890991,0,0.03859400749206543
0,0,0,0,1,6.782711029052734,0,0.033212900161743164
0,0,0,0,1,6.817509174346924,0,0.03479814529418945
0,0,0,0,1,6.844856023788452,0,0.02734684944152832
0,0,0,0,1,6.877477169036865,0,0.032621145248413086
0,0,0,0,1,6.913711071014404,0,0.03623390197753906
0,0,0,0,1,6.949938058853149,0,0.03622698783874512
0,0,0,0,1,6.975646018981934,0,0.02570796012878418
0,0,0,0,1,7.014425039291382,0,0.03877902030944824
0,0,0,0,1,7.048470973968506,0,0.03404593467712402
0,0,0,0,1,7.078632116317749,0,0.030161142349243164
0,0,0,0,1,7.112774133682251,0,0.03414201736450195
0,0,0,0,1,7.149423122406006,0,0.03664898872375488
0,0,0,0,1,7.181084156036377,0,0.031661033630371094
0,0,0,0,1,7.2169029712677,0,0.03581881523132324
0,0,0,0,1,7.257196187973022,0,0.04029321670532138
0,0,0,0,1,7.291185140609741,0,0.03398895263671964
0,0,0,0,1,7.323908090591431,0,0.03272294998168945
0,0,0,0,1,7.360300064086914,0,0.0363919734954834
0,0,0,0,1,7.397552013397217,0,0.037251949310302734
0,0,0,0,1,7.436815023422241,0,0.039263010025024414
0,0,0,0,1,7.464874982833862,0,0.028059959411621094
0,0,0,0,1,7.496731996536255,0,0.03185701370239258
0,0,0,0,1,7.531476020812988,0,0.0347440242767334
0,0,0,0,1,7.577246189117432,0,0.04577016830444336
0,0,0,0,1,7.605565071105957,0,0.02831888198852539
0,0,0,0,1,7.635070085525513,0,0.029505014419555664
0,0,0,0,1,7.672479152679443,0,0.037409067153930664
0,0,0,0,1,7.702893972396851,0,0.030414819717407227
0,0,0,0,1,7.738054990768433,0,0.03516101837158203
0,0,0,0,1,7.77488899230957,0,0.036834001541137695
0,0,0,0,1,7.805639028549194,0,0.030750036239624023
0,0,0,0,1,7.837692975997925,0,0.03205394744873047
0,0,0,0,1,7.878838062286377,0,0.04114508628845215
0,0,0,0,1,7.909891128540039,0,0.03105306625366211
