PowerD=calc,DesiredDistance=calc,e_i=calc,e_f=calc,Tid=meas,Avstand=meas,Ts=calc,e_d=calc,PowerA=calc,u_k=calc,e_k=calc
No specified init-data
0,302,0,0,0.2377901077270508,302,0.003284931182861328,0,0,0,0
0,302,0,0,0.2439920902252197,302,0.006201982498168945,0,0,0,0
0,302,0,0,0.2487959861755371,302,0.004803895950317383,0,0,0,0
0,302,0,0,0.2554411888122559,302,0.00664520263671875,0,0,0,0
0,302,0,0,0.2609100341796875,302,0.005468845367431641,0,0,0,0
0,302,0,0,0.2675831317901611,302,0.006673097610473633,0,0,0,0
0,302,0,0,0.2750420570373535,302,0.007458925247192383,0,0,0,0
0,302,0,0,0.2787880897521973,302,0.00374603271484375,0,0,0,0
0,302,0,0,0.2855169773101807,302,0.006728887557983398,0,0,0,0
0,302,0,0,0.2908561229705811,302,0.005339145660400391,0,0,0,0
0,302,0,0,0.2973201274871826,302,0.006464004516601563,0,0,0,0
0,302,0,0,0.3025310039520264,302,0.00521087646484375,0,0,0,0
0,302,0,0,0.3077361583709717,302,0.005205154418945313,0,0,0,0
0,302,0,0,0.315101146697998,302,0.007364988327026367,0,0,0,0
0,302,0,0,0.3187990188598633,302,0.003697872161865234,0,0,0,0
0,302,0,0,0.3251221179962158,302,0.006323099136352539,0,0,0,0
0,302,0,0,0.3308641910552979,302,0.005742073059082031,0,0,0,0
0,302,0,0,0.3381071090698242,302,0.007242918014526367,0,0,0,0
0,302,0,0,0.3452939987182617,302,0.0071868896484375,0,0,0,0
0,302,0,0,0.3504040241241455,302,0.005110025405883789,0,0,0,0
0,302,0,0,0.3548290729522705,302,0.004425048828125,0,0,0,0
0,302,0,0,0.3614401817321777,302,0.006611108779907227,0,0,0,0
0,302,0,0,0.3664190769195557,302,0.00497889518737793,0,0,0,0
0,302,0,0,0.3715660572052002,302,0.005146980285644531,0,0,0,0
0,302,0,0,0.3770120143890381,302,0.005445957183837891,0,0,0,0
0,302,0,0,0.3851001262664795,302,0.008088111877441406,0,0,0,0
0,302,0,0,0.3879361152648926,302,0.002835988998413086,0,0,0,0
0,302,0,0,0.3954100608825684,302,0.007473945617675781,0,0,0,0
0,302,0,0,0.3987941741943359,302,0.003384113311767578,0,0,0,0
0,302,0,0,0.4058480262756348,302,0.007053852081298828,0,0,0,0
0,302,0,0,0.4110891819000244,302,0.005241155624389648,0,0,0,0
0,302,0,0,0.4177150726318359,302,0.006625890731811523,0,0,0,0
0,302,0,0,0.4264450073242188,302,0.008729934692382813,0,0,0,0
0,302,0,0,0.4290781021118164,302,0.002633094787597656,0,0,0,0
0,302,0,0,0.4354610443115234,302,0.006382942199707031,0,0,0,0
2.0,302,0,-0.02,0.4411370754241943,303,0.005676031112670898,0,2.0,-2.0,-1
2.0,302,0,-0.03959999999999999,0.446019172668457,303,0.004882097244262695,0,2.0,-2.0,-1
2.0,302,0,-0.05880799999999999,0.4524931907653809,303,0.006474018096923828,0,2.0,-2.0,-1
2.0,302,0,-0.07763184,0.4567580223083496,303,0.00426483154296875,0,2.0,-2.0,-1
0,302,0,-0.07607920319999999,0.4624741077423096,302,0.005716085433959961,0,0,0,0
0,302,0,-0.07455761913599998,0.4677681922912598,302,0.005294084548950195,0,0,0,0
0,302,0,-0.07306646675327998,0.4747731685638428,302,0.007004976272583008,0,0,0,0
0,302,0,-0.07160513741821438,0.4786779880523682,302,0.003904819488525391,0,0,0,0
-8.0,302,0,0.009826965330149914,0.4850451946258545,298,0.006367206573486328,0,-8.0,8.0,4
-8.0,302,0,0.08963042602354692,0.4903831481933594,298,0.005337953567504883,0,-8.0,8.0,4
-8.0,302,0,0.167837817503076,0.4970111846923828,298,0.006628036499023438,0,-8.0,8.0,4
-8.0,302,0,0.2444810611530144,0.5011000633239746,298,0.004088878631591797,0,-8.0,8.0,4
0,302,0,0.2395914399299541,0.5070061683654785,302,0.005906105041503906,0,0,0,0
0,302,0,0.2347996111313551,0.5145220756530762,302,0.007515907287597656,0,0,0,0
0,302,0,0.2301036189087279,0.5211191177368164,302,0.006597042083740234,0,0,0,0
0,302,0,0.2255015465305534,0.525562047958374,302,0.004442930221557617,0,0,0,0
0,302,0,0.2209915155999424,0.5310630798339844,302,0.005501031875610352,0,0,0,0
0,302,0,0.2165716852879435,0.5375080108642578,302,0.006444931030273438,0,0,0,0
-8.0,302,0,0.2922402515821847,0.5452351570129395,298,0.007727146148681641,0,-8.0,8.0,4
-8.0,302,0,0.366395446550541,0.5551960468292236,298,0.00996088981628418,0,-8.0,8.0,4
-8.0,302,0,0.4390675376195301,0.5619301795959473,298,0.006734132766723633,0,-8.0,8.0,4
-8.0,302,0,0.5102861868671395,0.5675761699676514,298,0.005645990371704102,0,-8.0,8.0,4
0,302,0,0.5000804631297967,0.5768311023712158,302,0.009254932403564453,0,0,0,0
0,302,0,0.4900788538672007,0.5840821266174316,302,0.00725102424621582,0,0,0,0
0,302,0,0.4802772767898567,0.593451976776123,302,0.009369850158691406,0,0,0,0
0,302,0,0.4706717312540595,0.5980181694030762,302,0.004566192626953125,0,0,0,0
0,302,0,0.4612582966289784,0.6053440570831299,302,0.007325887680053711,0,0,0,0
0,302,0,0.4520331306963988,0.6091580390930176,302,0.003813982009887695,0,0,0,0
0,302,0,0.4429924680824708,0.6147570610046387,302,0.005599021911621094,0,0,0,0
