e_k=calc,DesiredDistance=calc,PowerD=calc,e_f=calc,Tid=meas,Avstand=meas,D_k=calc,Ts=calc,I_k=calc,PowerA=calc,u_k=calc
No specified init-data
-8,263,0.008847314429308705,-8.099386463729235,30.23097920417786,271,0.01649658052910923,0.002459049224860621,19.974656105041582,0.008847314429308705,-0.008847314429308705
-8,263,0.049125871874477506,-8.09739873445465,30.23828506469727,271,0.005441465161577146,0.00730586051940918,19.945432662963945,0.049125871874477506,-0.049125871874477506
-8,263,0.06363706760757372,-8.095450759765557,30.24273920059204,271,0.00874681300756829,0.004454135894771838,19.927616119384858,0.06363706760757372,-0.06363706760757372
-8,263,0.10946684477406388,-8.093541744570246,30.25294518470764,271,0.0037409723034804686,0.010205984115600586,19.886792182922456,0.10946684477406388,-0.10946684477406388
-8,263,0.1375728865334144,-8.09167090967884,30.26030707359314,271,0.005082486086122127,0.007361888885498047,19.857344627380463,0.1375728865334144,-0.1375728865334144
-8,263,0.15897152245459367,-8.089837491485262,30.26599717140198,271,0.006444241400308637,0.005690097808841443,19.834584236145098,0.15897152245459367,-0.15897152245459367
-8,263,0.17409761092749215,-8.088040741655556,30.27027010917664,271,0.008409904026042974,0.004272937774658203,19.817492485046465,0.17409761092749215,-0.17409761092749215
-8,263,0.19954427644353734,-8.086279926822444,30.27605199813843,271,0.006090794357165745,0.005781888961791992,19.794364929199297,0.19954427644353734,-0.19954427644353734
-8,263,0.21880892259567578,-8.084554328285995,30.28106617927552,271,0.006882872753381376,0.005014181137088514,19.774308204650943,0.21880892259567578,-0.21880892259567578
-8,263,0.251177535803998,-8.082863241720274,30.28856515884399,271,0.004510177818942302,0.007498979568470787,19.74431228637706,0.251177535803998,-0.251177535803998
-8,263,0.2608345390894159,-8.081205976885867,30.29215812683105,271,0.009225046481766603,0.003592967987060547,19.729940414428818,0.2608345390894159,-0.2608345390894159
-8,263,0.2884342257602407,-8.079581857348149,30.29811501502991,271,0.005452912606380389,0.0059568881988596445,19.70611286163338,0.2884342257602407,-0.2884342257602407
-8,263,0.3163641870825264,-8.077990220201185,30.30490612983704,271,0.004687410512610301,0.006791114807128906,19.678948402404863,0.3163641870825264,-0.3163641870825264
-8,263,0.3273633996492874,-8.07643041579716,30.30859708786011,271,0.008452030038134425,0.003690958023071289,19.664184570312578,0.3273633996492874,-0.3273633996492874
-8,263,0.3565054188383483,-8.074901807481217,30.31496906280518,271,0.004797910629347004,0.006371974945068359,19.638696670532305,0.3565054188383483,-0.3565054188383483
-8,263,0.38297207687227625,-8.073403771331591,30.32152819633484,271,0.004567786714057189,0.006559133529659533,19.612460136413667,0.38297207687227625,-0.38297207687227625
-8,263,0.41243923027925616,-8.071935695904958,30.32876706123352,271,0.0040560929018038,0.007238864898681641,19.58350467681894,0.41243923027925616,-0.41243923027925616
-8,263,0.4251976264100784,-8.070496981986858,30.33274912834168,271,0.007225965203612988,0.00398206710815785,19.56757640838631,0.4251976264100784,-0.4251976264100784
