IAElist=calc,Referanse=calc,HastighetMotorA=meas,Ts=calc,Filtrert_Avvik=calc,Filtrert_Avvik_Derivert=calc,PowerA=calc,HastighetMotorD=meas,PowerD=calc,VinkelPosMotorA=meas,MAElist=calc,abs_Avvik=calc,TvD=calc,Avvik=calc,VinkelPosMotorD=meas,Lys=meas,Integrert_Avvik=calc,Tid=meas,TvA=calc
Lys0=36
-28.28332901000977,36,51,0.01485085487365723,2.695805986469925,2.007496339002123,6.705461863295461,168,33.29453813670454,1661,-2.101303911735206,10,437.2827874949886,10,857,26,-14.21392226219177,11.61027193069458,437.2827874949883
-28.19801807403564,36,47,0.008531093597412109,2.841889866740527,3.42473983206364,6.400685430689627,171,33.59931456931037,1661,-2.089178356713427,10,437.5875639275944,10,858,26,-14.17126679420471,11.61880302429199,437.5875639275941
-28.06650233268738,36,46,0.01195597648620605,3.005052069405717,2.729383130745273,4.509866829737787,175,35.49013317026221,1662,-2.077077077077077,11,439.4783825285463,11,860,25,-14.11148691177368,11.6307590007782,439.4783825285459
-27.89736533164978,36,44,0.01537609100341797,3.164951028017603,2.079838869012181,4.597491431825006,184,35.402508568175,1662,-2.064,11,439.5660071306335,11,863,25,-14.02691841125488,11.64613509178162,439.5660071306331
-27.74782180786133,36,37,0.0135948657989502,3.321652007457251,2.305296451720008,4.515014034336327,191,35.48498596566368,1663,-2.050949050949051,11,439.6484845281221,11,865,25,-13.95214664936066,11.65972995758057,439.6484845281218
-27.63819432258606,36,37,0.009966135025024414,3.475218967308106,3.081775622450573,4.332311328871397,197,35.6676886711286,1663,-2.037924151696607,11,439.831187233587,11,867,25,-13.89733290672302,11.66969609260559,439.8311872335867
-27.50420546531677,36,37,0.01218080520629883,3.625714587961944,2.471029100375318,4.420963418969126,201,35.57903658103088,1663,-2.024925224327019,11,439.9198393236848,11,870,25,-13.83033847808838,11.68187689781189,439.9198393236845
-27.36917471885681,36,25,0.01350307464599609,3.753200296202705,1.888247107906836,6.500386362186333,205,33.49961363781367,1663,-2.01195219123506,10,441.999262266902,10,873,26,-13.7560715675354,11.69537997245789,441.9992622669016
-27.25602769851685,36,25,0.01028609275817871,3.898136290278651,2.818096190328516,4.28870131380655,207,35.71129868619345,1663,-2.0,11,444.2109473152818,11,875,25,-13.70464110374451,11.70566606521606,444.2109473152814
-27.12156414985657,36,25,0.01222395896911621,4.040173564473077,2.323916082396597,4.353921448227865,210,35.64607855177214,1663,-1.987077534791252,11,444.2761674497031,11,877,25,-13.63740932941437,11.71789002418518,444.2761674497028
-26.93910479545593,36,18,0.01824593544006348,4.159370093183616,1.306554318380548,6.507217478570899,207,33.4927825214291,1664,-1.974180734856008,10,446.4294634800461,10,881,26,-13.53705668449402,11.73613595962524,446.4294634800458
-26.82944965362549,36,18,0.01218390464782715,4.256182691319943,1.589188374903975,8.420230905646646,207,31.57976909435336,1664,-1.962301587301587,9,448.3424769071219,9,884,27,-13.47613716125488,11.74831986427307,448.3424769071215
