TvA=calc,IAElist=calc,HastighetMotorA=meas,Ts=calc,Referanse=calc,PowerA=calc,HastighetMotorD=meas,MAElist=calc,PowerD=calc,VinkelPosMotorA=meas,Avvik=calc,abs_Avvik=calc,Avvik_Integrert=calc,TvD=calc,VinkelPosMotorD=meas,Lys=meas,Derivert_Avvik_IIR=calc,Avvik_IIR=calc,Tid=meas
Lys0=34
137.2836560041222,-5.286230802536007,82,0.016957044601439986,34,13.153669895491658,157,-1.7575757575757576,26.84633010450834,327,4,4,-2.675913453102111,137.28365600412226,315,30,0.9214341552969855,0.17192398317801555,3.067678928375244
137.5513106907044,-5.258706808090208,82,0.006880998611449751,34,12.886015208909452,158,-1.7401812688821752,27.113984791090548,328,4,4,-2.6621514558792114,137.55131069070447,316,30,2.225302595150765,0.24848550351445525,3.074559926986694
137.78566869189103,-5.197250127792357,81,0.01536417007446289,34,13.120373210096082,160,-1.7228915662650603,26.879626789903917,329,4,4,-2.6314231157302856,137.7856686918911,318,30,0.9766917388453062,0.32351579344416614,3.089924097061157
137.90767642850676,-5.159026861190792,77,0.009555816650391069,34,12.998365473480355,163,-1.7057057057057057,27.001634526519645,330,4,4,-2.6123114824295035,137.90767642850682,320,30,1.538951338671981,0.39704547757528286,3.099479913711548
138.09115271684226,-5.135270833969111,77,0.005939006805420366,34,12.814889185144844,165,-1.688622754491018,27.185110814855157,330,4,4,-2.6004334688186628,138.09115271684232,321,30,2.426637746322433,0.4691045680237772,3.105418920516968
138.3488292059487,-5.082590818405148,73,0.013170003890990767,34,13.072565674251283,172,-1.671641791044776,26.927434325748717,331,4,4,-2.5740934610366812,138.34882920594876,323,30,1.0724052813352953,0.5397224766633016,3.118588924407959
138.38832839362277,-5.036942243576048,70,0.011412143707274947,34,13.033066486577216,174,-1.6547619047619047,26.966933513422784,332,4,4,-2.5512691736221313,138.38832839362283,325,30,1.2128405011692447,0.6089280271300356,3.130001068115234
138.48241600005852,-5.003898382186888,69,0.008260965347290039,34,12.938978880141455,175,-1.6379821958456973,27.061021119858545,332,4,4,-2.5347472429275513,138.48241600005858,327,30,1.6419737066116056,0.6767494665874348,3.138262033462524
138.52792346955215,-4.964966535568232,70,0.009732961654663974,34,12.984486349635079,175,-1.621301775147929,27.015513650364923,333,4,4,-2.5152813196182233,138.5279234695522,328,30,1.3657715508701642,0.7432144772556861,3.147994995117188
138.5313997003254,-4.925914525985716,69,0.009763002395628995,34,12.981010118861825,176,-1.6047197640117994,27.018989881138175,334,4,4,-2.4957553148269653,138.53139970032547,330,30,1.3343376927582888,0.8083501877105723,3.157757997512817
138.68805580969948,-4.901446104049679,69,0.006117105484009233,34,12.82435400948776,177,-1.588235294117647,27.17564599051224,334,4,4,-2.483521103858947,138.68805580969953,331,30,2.08703271220857,0.8721831839563609,3.163875102996826
138.83723076823705,-4.862734556198117,65,0.009677886962890625,34,12.973528968025331,176,-1.5718475073313782,27.02647103197467,334,4,4,-2.4641653299331656,138.8372307682371,333,30,1.292768484706257,0.9347395202772336,3.173552989959717
138.85807981051224,-4.826450109481808,62,0.009071111679077148,34,12.952679925750132,177,-1.5555555555555556,27.047320074249868,335,4,4,-2.4460231065750113,138.8580798105123,336,30,1.3516581376868726,0.9960447298716889,3.182624101638794
140.9738939963396,-4.792895317077631,62,0.011184930801392046,34,15.068494111577497,179,-1.5393586005830904,24.931505888422503,336,3,3,-2.4236532449722272,140.97389399633965,337,31,0.7166625545430815,1.036123835274255,3.193809032440186
140.99219960310234,-4.762286663055416,61,0.010202884674071822,34,15.050188504814757,182,-1.5261627906976745,24.949811495185244,336,3,3,-2.4083489179611197,140.9921996031024,338,31,0.7699297708290131,1.0754013585687698,3.204011917114258
141.04376758912167,-4.739165306091305,60,0.007707118988037109,34,14.998620518795411,181,-1.5130434782608695,25.001379481204587,337,3,3,-2.396788239479064,141.04376758912173,340,31,0.9988680047206056,1.1138933313973944,3.211719036102295
141.06881376317375,-4.7122194766998255,62,0.008981943130493164,34,15.023666692847499,179,-1.5,24.9763333071525,338,3,3,-2.3833153247833243,141.0688137631738,342,31,0.8399548477208166,1.1516154647694465,3.220700979232788
143.08080520163006,-4.658579111099238,66,0.013410091400146928,34,13.011675254391205,175,-1.4870317002881845,26.988324745608793,338,4,4,-2.3632001876831037,143.08080520163008,344,30,0.8496241972517337,1.2085831554740576,3.234111070632935
145.22264996292245,-4.608314514160153,69,0.010052919387816939,34,10.869830493098807,176,-1.471264367816092,29.130169506901193,339,5,5,-2.34309434890747,145.22264996292247,346,29,1.5085834067746458,1.2844114923645764,3.244163990020752
147.20475102238134,-4.523252010345455,71,0.014177083969116211,34,8.887729433639905,174,-1.4527220630372493,31.112270566360095,340,6,6,-2.3076516389846793,147.20475102238137,348,28,1.3304819292621803,1.3787232625172847,3.258341073989868
149.44427954758902,-4.459258556365967,70,0.009141921997069868,34,6.648200908432226,174,-1.4314285714285715,33.35179909156777,341,7,7,-2.2802258729934697,149.44427954758905,350,27,2.4595601403225387,1.491148797266939,3.267482995986938
