abs_avik=calc,Referanse=calc,PowerD=calc,avvik=calc,joySide=meas,Ts=calc,Tid=meas,TvD=calc,Lys=meas,MAEList=calc,TvA=calc,joyForward=meas,IAEList=calc,PowerA=calc
Lys0=36
,36,2.032578011749448,0,-4.689097428854816,0.02918100357055664,1.517514944076538,4.434958419165334,36,0.2244897959183673,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.02994704246520996,1.547461986541748,4.434958419165334,36,0.22,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.0309600830078125,1.578422069549561,4.434958419165334,36,0.215686274509804,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03028988838195801,1.608711957931519,4.434958419165334,36,0.2115384615384615,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.02809906005859375,1.636811017990112,4.434958419165334,36,0.2075471698113208,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.02978682518005371,1.666597843170166,4.434958419165334,36,0.2037037037037037,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.02948713302612305,1.696084976196289,4.434958419165334,36,0.2,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03262591361999512,1.728710889816284,4.434958419165334,36,0.1964285714285714,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03567910194396973,1.764389991760254,4.434958419165334,36,0.1929824561403509,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
,36,2.032578011749448,0,-4.689097428854816,0.03173184394836426,1.796121835708618,4.434958419165334,36,0.1896551724137931,4.062333104448008,0.7827878233005237,0.3900461196899414,-1.249790188448924
