abs_avik=calc,avvik=calc,PowerD=calc,joySide=meas,Ts=calc,Tid=meas,joyForward=meas,TvD=calc,Lys=meas,Referanse=calc,TvA=calc,MAEList=calc,IAEList=calc,PowerA=calc
Lys0=36
,0,7.421875,0,0.01241302490234375,0.416295051574707,14.84375,0,36,,0,-0.375,0.1257178783416748,7.421875
,0,7.421875,0,0.009094953536987305,0.4253900051116943,14.84375,0,36,,0,-0.3636363636363637,0.1257178783416748,7.421875
,0,7.421875,0,0.008383035659790039,0.4337730407714844,14.84375,0,36,,0,-0.3529411764705883,0.1257178783416748,7.421875
,0,7.421875,0,0.01048088073730469,0.4442539215087891,14.84375,0,36,,0,-0.3428571428571429,0.1257178783416748,7.421875
,-1,7.421875,0,0.006609201431274414,0.4508631229400635,14.84375,0,37,,0,-0.3333333333333333,0.1323270797729492,7.421875
,0,7.421875,0,0.006250858306884766,0.4571139812469482,14.84375,0,36,,0,-0.3513513513513514,0.1323270797729492,7.421875
,-1,8.203125,0,0.0189969539642334,0.4761109352111816,16.40625,0.78125,37,,0.78125,-0.3421052631578947,0.1513240337371826,8.203125
,-1,8.203125,0,0.01066017150878906,0.4867711067199707,16.40625,0,37,,0,-0.358974358974359,0.1619842052459717,8.203125
,0,8.203125,0,0.0266728401184082,0.5134439468383789,16.40625,0,36,,0,-0.375,0.1619842052459717,8.203125
,0,8.203125,0,0.005054950714111328,0.5184988975524902,16.40625,0,36,,0,-0.3658536585365853,0.1619842052459717,8.203125
,0,8.203125,0,0.008486032485961914,0.5269849300384521,16.40625,0,36,,0,-0.3571428571428572,0.1619842052459717,8.203125
,-1,8.203125,0,0.02098202705383301,0.5479669570922852,16.40625,0,37,,0,-0.3488372093023256,0.1829662322998047,8.203125
,-1,8.203125,0,0.008069992065429688,0.5560369491577148,16.40625,0,37,,0,-0.3636363636363637,0.1910362243652344,8.203125
,0,8.203125,0,0.008150100708007813,0.5641870498657227,16.40625,0,36,,0,-0.3777777777777778,0.1910362243652344,8.203125
,0,8.203125,0,0.00910186767578125,0.5732889175415039,16.40625,0,36,,0,-0.3695652173913043,0.1910362243652344,8.203125
,0,8.203125,0,0.006046056747436523,0.5793349742889404,16.40625,0,36,,0,-0.3617021276595745,0.1910362243652344,8.203125
,-1,8.203125,0,0.0294039249420166,0.608738899230957,16.40625,0,37,,0,-0.3541666666666667,0.220440149307251,8.203125
