abs_avik=calc,avvik=calc,PowerD=calc,joySide=meas,Ts=calc,Tid=meas,joyForward=meas,TvD=calc,Lys=meas,refferanse=calc,TvA=calc,MAEList=calc,IAEList=calc,PowerA=calc
Lys0=36
,-1,7.421875,0,0.0066092014312743586,0.4508631229400635,14.84375,7.1875,37,36,8.828125,-0.3333333333333333,0.13232707977294922,7.421875
,0,7.421875,0,0.00625085830688471,0.4571139812469482,14.84375,7.1875,36,36,8.828125,-0.35135135135135137,0.13232707977294922,7.421875
,-1,8.203125,0,0.0189969539642334,0.4761109352111816,16.40625,7.96875,37,36,9.609375,-0.34210526315789475,0.15132403373718262,8.203125
,-1,8.203125,0,0.010660171508789118,0.4867711067199707,16.40625,7.96875,37,36,9.609375,-0.358974358974359,0.16198420524597174,8.203125
,0,8.203125,0,0.026672840118408203,0.5134439468383789,16.40625,7.96875,36,36,9.609375,-0.375,0.16198420524597174,8.203125
,0,8.203125,0,0.005054950714111328,0.5184988975524902,16.40625,7.96875,36,36,9.609375,-0.36585365853658536,0.16198420524597174,8.203125
,0,8.203125,0,0.008486032485961914,0.5269849300384521,16.40625,7.96875,36,36,9.609375,-0.35714285714285715,0.16198420524597174,8.203125
,-1,8.203125,0,0.020982027053833008,0.5479669570922852,16.40625,7.96875,37,36,9.609375,-0.3488372093023256,0.18296623229980474,8.203125
,-1,8.203125,0,0.008069992065429688,0.5560369491577148,16.40625,7.96875,37,36,9.609375,-0.36363636363636365,0.19103622436523443,8.203125
,0,8.203125,0,0.008150100708007812,0.5641870498657227,16.40625,7.96875,36,36,9.609375,-0.37777777777777777,0.19103622436523443,8.203125
,0,8.203125,0,0.00910186767578125,0.5732889175415039,16.40625,7.96875,36,36,9.609375,-0.3695652173913043,0.19103622436523443,8.203125
,0,8.203125,0,0.0060460567474365234,0.5793349742889404,16.40625,7.96875,36,36,9.609375,-0.3617021276595745,0.19103622436523443,8.203125
,-1,8.203125,0,0.0294039249420166,0.608738899230957,16.40625,7.96875,37,36,9.609375,-0.3541666666666667,0.22044014930725103,8.203125
,0,8.203125,0,0.008150100708007812,0.6168889999389648,16.40625,7.96875,36,36,9.609375,-0.3673469387755102,0.22044014930725103,8.203125
,0,8.88671875,0,0.016206026077270508,0.6330950260162354,17.7734375,8.65234375,36,36,10.29296875,-0.36,0.22044014930725103,8.88671875
,0,8.88671875,0,0.013423919677734375,0.6465189456939697,17.7734375,8.65234375,36,36,10.29296875,-0.35294117647058826,0.22044014930725103,8.88671875
,0,8.88671875,0,0.008891105651855469,0.6554100513458252,17.7734375,8.65234375,36,36,10.29296875,-0.34615384615384615,0.22044014930725103,8.88671875
,0,8.88671875,0,0.005914926528930664,0.6613249778747559,17.7734375,8.65234375,36,36,10.29296875,-0.33962264150943394,0.22044014930725103,8.88671875
,0,10.05859375,0,0.017605066299438477,0.6789300441741943,20.1171875,9.82421875,36,36,11.46484375,-0.3333333333333333,0.22044014930725103,10.05859375
