abs_avik=calc,avvik=calc,PowerD=calc,joySide=meas,Ts=calc,Tid=meas,joyForward=meas,TvD=calc,Lys=meas,Referanse=calc,TvA=calc,MAEList=calc,IAEList=calc,PowerA=calc
Lys0=42
,4,23.3203125,-0.78125,0.01627492904663086,0.1954550743103027,46.09375,16.40625,38,42,16.40625,0.25,0.1772875785827637,22.7734375
,4,23.3203125,-0.78125,0.006711959838867188,0.2021670341491699,46.09375,16.40625,38,42,16.40625,0.4705882352941177,0.2041354179382324,22.7734375
,5,23.3203125,-0.78125,0.01388692855834961,0.2160539627075195,46.09375,16.40625,37,42,16.40625,0.6666666666666666,0.2735700607299805,22.7734375
,4,23.3203125,-0.78125,0.01113700866699219,0.2271909713745117,46.09375,16.40625,38,42,16.40625,0.8947368421052632,0.3181180953979492,22.7734375
,5,23.3203125,-0.78125,0.004683971405029297,0.231874942779541,46.09375,16.40625,37,42,16.40625,1.05,0.3415379524230957,22.7734375
,5,24.1015625,-0.78125,0.01862502098083496,0.250499963760376,47.65625,17.1875,37,42,17.1875,1.238095238095238,0.4346630573272705,23.5546875
,5,24.1015625,-0.78125,0.006592035293579102,0.2570919990539551,47.65625,17.1875,37,42,17.1875,1.409090909090909,0.467623233795166,23.5546875
,5,23.96484375,-0.390625,0.02108502388000488,0.27817702293396,47.65625,17.32421875,37,42,17.32421875,1.565217391304348,0.5730483531951904,23.69140625
,5,24.84375,-0.390625,0.008027076721191406,0.2862040996551514,49.4140625,18.203125,37,42,18.203125,1.708333333333333,0.6131837368011475,24.5703125
,5,24.84375,-0.390625,0.003797054290771484,0.2900011539459229,49.4140625,18.203125,37,42,18.203125,1.84,0.6321690082550049,24.5703125
,4,25.0390625,-0.390625,0.01923680305480957,0.3092379570007324,49.8046875,18.3984375,38,42,18.3984375,1.961538461538461,0.7091162204742432,24.765625
,5,25.0390625,-0.390625,0.007606983184814453,0.3168449401855469,49.8046875,18.3984375,37,42,18.3984375,2.037037037037037,0.7471511363983154,24.765625
,5,25.0390625,-0.390625,0.009339094161987305,0.3261840343475342,49.8046875,18.3984375,37,42,18.3984375,2.142857142857143,0.793846607208252,24.765625
,6,26.50390625,-0.390625,0.02193903923034668,0.3481230735778809,52.734375,19.86328125,36,42,19.86328125,2.241379310344827,0.925480842590332,26.23046875
,7,26.50390625,-0.390625,0.009923934936523438,0.3580470085144043,52.734375,19.86328125,35,42,19.86328125,2.366666666666667,0.9949483871459961,26.23046875
,7,26.50390625,-0.390625,0.009199142456054688,0.367246150970459,52.734375,19.86328125,35,42,19.86328125,2.516129032258065,1.059342384338379,26.23046875
,8,27.08984375,-0.390625,0.006630897521972656,0.3738770484924316,53.90625,20.44921875,34,42,20.44921875,2.65625,1.11238956451416,26.81640625
,8,27.08984375,-0.390625,0.006953954696655273,0.3808310031890869,53.90625,20.44921875,34,42,20.44921875,2.818181818181818,1.168021202087402,26.81640625
,10,27.08984375,-0.390625,0.0179290771484375,0.3987600803375244,53.90625,20.44921875,32,42,20.44921875,2.970588235294118,1.347311973571777,26.81640625
,10,26.89453125,-0.390625,0.02755904197692871,0.4263191223144531,53.515625,20.64453125,32,42,20.64453125,3.171428571428571,1.622902393341064,26.62109375
,9,26.89453125,-0.390625,0.01200389862060547,0.4383230209350586,53.515625,20.64453125,33,42,20.64453125,3.361111111111111,1.730937480926514,26.62109375
,9,26.89453125,-0.390625,0.007975101470947266,0.4462981224060059,53.515625,20.64453125,33,42,20.64453125,3.513513513513514,1.802713394165039,26.62109375
,10,27.48046875,-0.390625,0.008962869644165039,0.4552609920501709,54.6875,21.23046875,32,42,21.23046875,3.657894736842105,1.892342090606689,27.20703125
,10,27.48046875,-0.390625,0.008657932281494141,0.463918924331665,54.6875,21.23046875,32,42,21.23046875,3.820512820512821,1.978921413421631,27.20703125
,9,27.48046875,-0.390625,0.01887822151184082,0.4827971458435059,54.6875,21.23046875,33,42,21.23046875,3.975,2.148825407028198,27.20703125
,9,27.48046875,-0.390625,0.003428936004638672,0.4862260818481445,54.6875,21.23046875,33,42,21.23046875,4.097560975609756,2.179685831069946,27.20703125
,9,27.48046875,-0.390625,0.005885839462280273,0.4921119213104248,54.6875,21.23046875,33,42,21.23046875,4.214285714285714,2.232658386230469,27.20703125
,9,27.48046875,-0.390625,0.02321910858154297,0.5153310298919678,54.6875,21.23046875,33,42,21.23046875,4.325581395348837,2.441630363464355,27.20703125
,9,27.48046875,-0.390625,0.009860038757324219,0.525191068649292,54.6875,21.23046875,33,42,21.23046875,4.431818181818182,2.530370712280273,27.20703125
,9,27.48046875,-0.390625,0.01210403442382813,0.5372951030731201,54.6875,21.23046875,33,42,21.23046875,4.533333333333333,2.639307022094727,27.20703125
,9,27.48046875,-0.390625,0.009112834930419922,0.54640793800354,54.6875,21.23046875,33,42,21.23046875,4.630434782608695,2.721322536468506,27.20703125
,10,27.48046875,-0.390625,0.005747079849243164,0.5521550178527832,54.6875,21.23046875,32,42,21.23046875,4.723404255319149,2.778793334960938,27.20703125
,9,27.48046875,-0.390625,0.02328991889953613,0.5754449367523193,54.6875,21.23046875,33,42,21.23046875,4.833333333333333,2.988402605056763,27.20703125
,9,27.48046875,-0.390625,0.004887104034423828,0.5803320407867432,54.6875,21.23046875,33,42,21.23046875,4.918367346938775,3.032386541366577,27.20703125
,9,27.48046875,-0.390625,0.01636910438537598,0.5967011451721191,54.6875,21.23046875,33,42,21.23046875,5.0,3.179708480834961,27.20703125
,9,27.48046875,-0.390625,0.00641179084777832,0.6031129360198975,54.6875,21.23046875,33,42,21.23046875,5.078431372549019,3.237414598464966,27.20703125
,8,27.48046875,-0.390625,0.007642984390258789,0.6107559204101563,54.6875,21.23046875,34,42,21.23046875,5.153846153846154,3.298558473587036,27.20703125
,9,27.48046875,-0.390625,0.0136871337890625,0.6244430541992188,54.6875,21.23046875,33,42,21.23046875,5.20754716981132,3.421742677688599,27.20703125
,9,27.48046875,-0.390625,0.009456872940063477,0.6338999271392822,54.6875,21.23046875,33,42,21.23046875,5.277777777777778,3.50685453414917,27.20703125
,9,27.48046875,-0.390625,0.006021022796630859,0.6399209499359131,54.6875,21.23046875,33,42,21.23046875,5.345454545454546,3.561043739318848,27.20703125
