Lys=calc,TvA=calc,Avvik_IIR_Derivert=calc,Referanse=calc,HastighetMotorD=meas,MAElist=calc,Avvik=calc,TvD=calc,IAElist=calc,abs_Avvik=calc,VinkelPosMotorA=meas,HastighetMotorA=meas,Avvik_IIR=calc,PowerA=calc,Avstand=meas,VinkelPosMotorD=meas,Power=calc,Ts=calc,PowerD=calc,Tid=meas,Avvik_Integrert=calc
No specified init-data
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0054800510406493586,0,0.3362181186676025,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005506992340087891,0,0.3417251110076904,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007413864135742243,0,0.3491389751434326,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005777120590209961,0,0.3549160957336426,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006354808807373047,0,0.3612709045410156,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0072400569915771484,0,0.3685109615325928,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.003934144973754938,0,0.3724451065063477,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0069007873535155695,0,0.3793458938598633,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005154132843017634,0,0.3845000267028809,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005657911300659069,0,0.39015793800354,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007761001586914118,0,0.3979189395904541,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.003206014633178711,0,0.4011249542236328,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0067520141601563055,0,0.4078769683837891,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006102085113525391,0,0.4139790534973145,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005975008010864202,0,0.4199540615081787,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00784683227539057,0,0.4278008937835693,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0032851696014405407,0,0.4310860633850098,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.009701013565063366,0,0.4407870769500732,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006441831588745228,0,0.4472289085388184,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005364179611205999,0,0.4525930881500244,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006043910980224609,0,0.458636999130249,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005331039428710993,0,0.46396803855896,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005717992782592662,0,0.4696860313415527,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007703065872192438,0,0.4773890972137451,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005506992340087891,0,0.482896089553833,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0048198699951171875,0,0.4877159595489502,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005004167556762695,0,0.4927201271057129,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006360769271850586,0,0.4990808963775635,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007102012634277344,0,0.5061829090118408,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007032155990600586,0,0.5132150650024414,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0071430206298828125,0,0.5203580856323242,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004434823989868164,0,0.5247929096221924,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005906105041503906,0,0.5306990146636963,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007133007049560547,0,0.5378320217132568,0
