Power=calc,e_d=calc,Referanse=calc,PowerD=calc,Tid=meas,Avstand=meas,Ts=calc,e_i=calc,e_f=calc,PowerA=calc,e_k=calc
No specified init-data
0,0,220,0,0.149461030960083,220,0.005607128143310519,0,0,0,0
0,0,220,0,0.1567509174346924,220,0.007289886474609403,0,0,0,0
0,0,220,0,0.1636888980865479,220,0.0069379806518554965,0,0,0,0
0,0,220,0,0.1678848266601563,220,0.0041959285736083984,0,0,0,0
0,0,220,0,0.1736509799957275,220,0.005766153335571206,0,0,0,0
0,0,220,0,0.1796059608459473,220,0.005954980850219782,0,0,0,0
0,0,220,0,0.18619704246521,220,0.006591081619262695,0,0,0,0
0,0,220,0,0.192828893661499,220,0.006631851196289007,0,0,0,0
0,0,220,0,0.1994190216064453,220,0.006590127944946317,0,0,0,0
0,0,220,0,0.2038519382476807,220,0.004432916641235379,0,0,0,0
0,0,220,0,0.2095739841461182,220,0.0057220458984375,0,0,0,0
0,0,220,0,0.2157368659973145,220,0.006162881851196317,0,0,0,0
0,0,220,0,0.2233099937438965,220,0.0075731277465820035,0,0,0,0
0,0,220,0,0.2282500267028809,220,0.004940032958984375,0,0,0,0
0,0,220,0,0.2336568832397461,220,0.005406856536865207,0,0,0,0
0,0,220,0,0.2380189895629883,220,0.004362106323242215,0,0,0,0
0,0,220,0,0.2447409629821777,220,0.006721973419189398,0,0,0,0
0,0,220,0,0.2502069473266602,220,0.005465984344482505,0,0,0,0
0,0,220,0,0.2579419612884521,220,0.007735013961791881,0,0,0,0
0,0,220,0,0.2616329193115234,220,0.003690958023071289,0,0,0,0
0,0,220,0,0.2678070068359375,220,0.006174087524414118,0,0,0,0
0,0,220,0,0.2735710144042969,220,0.005764007568359375,0,0,0,0
0,0,220,0,0.2801229953765869,220,0.006551980972290039,0,0,0,0
0,0,220,0,0.287686824798584,220,0.00756382942199707,0,0,0,0
0,0,220,0,0.2914118766784668,220,0.0037250518798828125,0,0,0,0
0,0,220,0,0.2968008518218994,220,0.005388975143432617,0,0,0,0
0,0,220,0,0.3035979270935059,220,0.006797075271606501,0,0,0,0
0,0,220,0,0.3075079917907715,220,0.0039100646972655695,0,0,0,0
0,0,220,0,0.3128869533538818,220,0.005378961563110296,0,0,0,0
0,0,220,0,0.3203809261322021,220,0.0074939727783203125,0,0,0,0
0,0,220,0,0.3265609741210938,220,0.006180047988891713,0,0,0,0
